site_id,lat,lon,pft,cluster,dist_to_centroid
262163,36.35998,-120.05177,annual crop,1380,0.8377075154182779
271182,33.15668,-115.57543,annual crop,3011,0.8335151981666186
105066,39.17957,-121.72314,annual crop,424,0.53681486663755
371233,40.05157,-122.05039,annual crop,2544,0.4968590611625512
251451,41.4063,-120.71658,annual crop,688,0.716786118503848
164606,38.98111,-122.89814,annual crop,3811,1.161245282139053
57336,37.08088,-120.6956,annual crop,1616,0.9200679580353425
170589,35.56102,-120.73214,annual crop,3980,0.7834221068484066
522515,36.85119,-121.79076,annual crop,2889,0.9125734757335687
96836,37.38326,-120.82043,annual crop,3616,0.5986540761174513
473828,32.85345,-115.61648,annual crop,4089,0.9435637138703802
32547,36.95244,-121.72078,annual crop,3130,0.7204230508212531
68958,36.42841,-119.64244,annual crop,3226,0.6822071429267834
591,35.4428,-119.5457,annual crop,122,0.9380020079156128
287816,38.63707,-121.7581,annual crop,626,0.894973490113629
75903,38.85098,-121.21597,annual crop,2605,0.5214952399850662
431559,37.40569,-120.8689,annual crop,196,0.6537698916594845
401443,37.14715,-120.44322,annual crop,1937,0.8961627266206984
520659,38.86216,-121.63346,annual crop,4233,1.0877988468471869
441327,39.63731,-122.24558,annual crop,485,1.390589918795524
598644,33.08898,-117.01656,annual crop,319,1.0825427522771387
504955,34.14874,-119.0569,annual crop,3842,0.7076053665563539
218068,33.09786,-115.68142,annual crop,5034,0.743559179176258
545367,35.58483,-120.63773,annual crop,3305,1.2880403446301356
368720,35.65184,-120.48628,annual crop,4202,1.0283208252766696
165710,34.92565,-120.36041,annual crop,856,0.5507564922486489
528788,38.49759,-121.87361,annual crop,3114,1.2293057442262862
88782,40.01304,-122.08133,annual crop,4298,0.6536684337483007
534600,36.93999,-120.33013,annual crop,3278,1.2938451090260215
156552,38.01412,-121.39647,annual crop,469,1.4327649005651533
122667,36.898,-121.81817,annual crop,1228,0.8804926567432668
118111,36.73693,-121.71655,annual crop,3886,0.690818411179545
505258,39.49271,-122.2076,annual crop,1609,0.6884284956039884
98229,41.34095,-120.52947,annual crop,2907,1.3370674035121926
405119,36.8605,-120.46918,annual crop,124,0.9268320399565724
642,36.94409,-121.74722,annual crop,1291,0
26181,35.53977,-121.00936,annual crop,4948,0.7773335785978525
43214,38.26177,-122.08888,annual crop,1505,1.1177825144422298
236390,34.8964,-120.51685,annual crop,4239,0.701749454587232
517554,34.9242,-120.41211,annual crop,1769,0.6545027671693192
343551,36.60134,-119.50798,annual crop,1576,0.7424506303565523
496556,37.25472,-122.36705,annual crop,1473,0.7709714209778196
182201,41.79574,-124.18435,annual crop,1016,0
87557,35.19866,-119.07019,annual crop,3779,0.6827650501123195
415410,37.24852,-120.44115,annual crop,3873,1.1864065081366024
19020,40.89195,-124.00354,annual crop,4189,0.7246431973211536
232792,39.03118,-121.74475,annual crop,4104,0.7274493309484095
440251,36.74735,-120.17305,annual crop,2875,1.25926817250465
401837,38.55966,-121.81484,annual crop,770,0.9554767936059129
70286,36.6545,-121.54456,annual crop,140,0.4654963774423146
321452,36.64957,-121.57784,annual crop,4436,0.4376975286794716
592995,34.90955,-120.36668,annual crop,1014,0.6650568926022081
101377,41.45978,-122.39091,annual crop,4721,0.6210919952269685
694,37.94825,-121.58157,annual crop,138,1.0142437332276508
587879,35.92158,-119.33324,annual crop,4682,0.7521657811030269
700,41.45848,-120.63929,annual crop,2767,1.0161735672224435
701,37.76404,-121.32411,annual crop,2807,1.068035330058488
223785,37.33413,-118.3837,annual crop,2883,0.9434373886030787
595773,37.44573,-120.9321,annual crop,2213,1.151063552091558
590280,38.68742,-121.95091,annual crop,1057,1.0158816555646046
239756,41.68567,-120.38133,annual crop,2604,0.6999442800445735
129222,38.8524,-121.68662,annual crop,2650,1.053701551709942
449177,39.14411,-121.78535,annual crop,1911,0.779591769474395
451073,32.83803,-115.71408,annual crop,3670,0.6805139533566034
283429,37.27459,-120.44226,annual crop,651,0.9034544132044148
300143,34.1366,-119.06767,annual crop,1301,0.7035407421843058
166648,36.40579,-120.30884,annual crop,4211,0.9052804213161724
144688,38.48615,-122.83774,annual crop,312,0.8533138532566592
165265,38.29919,-121.7395,annual crop,3049,0.37224323411884763
315029,33.00182,-117.21239,annual crop,5001,1.1680570257481733
367853,37.85767,-120.99963,annual crop,338,0.5341083806920583
204322,34.90351,-120.50073,annual crop,2060,0.44533126760539793
553006,41.91014,-124.18086,annual crop,3258,0.9287269632242916
407902,32.91294,-115.33339,annual crop,1268,0.8782426313286003
486757,41.51517,-123.99199,annual crop,757,0.8378154969231215
450818,36.56083,-121.49899,annual crop,4974,0.36549218613099427
314213,36.62488,-121.50693,annual crop,2545,0.28344275110755385
416418,36.70201,-121.78548,annual crop,2824,0.5833304436398242
366453,36.88479,-121.81285,annual crop,1839,0.7659142207398322
90494,34.95642,-120.57563,annual crop,5152,0.622573555798474
399481,35.00084,-120.50986,annual crop,1970,0.5728319944397573
274187,36.86038,-121.43953,annual crop,305,0.7064440064308922
817,39.44474,-122.2712,annual crop,1767,1.1106781456412196
68062,40.0742,-122.17445,annual crop,542,1.580262868026527
330409,35.85551,-120.38469,annual crop,1405,0.7395288305144658
128673,38.27949,-121.33455,annual crop,2371,1.0360750983247378
455511,38.50102,-121.36193,annual crop,4698,0.9868546614808009
191726,40.58578,-121.93759,annual crop,4201,0.631116445847591
50473,38.77456,-121.41618,annual crop,260,0.8675754203353926
